,offense_type_id,offense_category_id,first_occurrence_date,reported_date,incident_address,geo_x,geo_y,geo_lon,geo_lat,district_id,precinct_id,neighborhood_id,is_crime,is_traffic,victim_count
386660,drug-pcs-other-drug,drug-alcohol,2023-10-03 20:40:00,2023-10-03 21:23:00,200 BLOCK S ZENOBIA ST,3126047.0,1684656.0,-105.0519634,39.7123291,4,411,barnum-west,True,False,1
386717,menacing-felony-w-weap,aggravated-assault,2023-10-03 19:12:00,2023-10-03 19:12:00,1956 S ELATI ST,3142603.0,1673362.0,-104.9933399,39.6810857,3,313,overland,True,False,1
386847,theft-of-motor-vehicle,auto-theft,2023-10-03 18:30:00,2023-10-03 22:12:00,2023 S COLORADO BLVD,3157317.0,1672948.0,-104.9410722,39.6797123,3,314,university-park,True,False,1
386806,theft-other,larceny,2023-10-03 17:50:00,2023-10-03 19:31:00,19502 E 42ND AVE,3208678.0,1707731.0,-104.7575901,39.7741876,5,523,gateway-green-valley-ranch,True,False,1
386671,violation-of-court-order,all-other-crimes,2023-10-03 17:50:00,2023-10-03 19:31:00,19502 E 42ND AVE,3208678.0,1707731.0,-104.7575901,39.7741876,5,523,gateway-green-valley-ranch,True,False,1
386809,theft-other,larceny,2023-10-03 17:39:00,2023-10-03 20:01:00,7080 N TOWER RD,3204730.0,1726229.0,-104.7711072,39.8250537,5,522,dia,True,False,1
386813,theft-other,larceny,2023-10-03 17:15:00,2023-10-03 20:58:00,3227 S PARKER RD,3182345.0,1665464.0,-104.8523432,39.6587107,3,323,kennedy,True,False,1
386642,criminal-mischief-mtr-veh,public-disorder,2023-10-03 17:15:00,2023-10-03 21:30:00,2728 N ZUNI ST,3136237.0,1700940.0,-105.0154348,39.7568883,1,113,highland,True,False,1
386793,theft-from-bldg,larceny,2023-10-03 16:50:00,2023-10-03 16:55:00,1667 S LOCUST ST,3164808.0,1675424.0,-104.9144016,39.6863799,3,322,virginia-village,True,False,1
386786,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-03 16:45:00,2023-10-03 17:06:00,1211 S QUEBEC WAY,3168053.0,1678466.0,-104.9028007,39.6946729,3,322,washington-virginia-vale,True,False,1
386668,violation-of-restraining-order,all-other-crimes,2023-10-03 16:25:00,2023-10-03 16:25:00,5120 N BROADWAY ST,3144179.0,1713071.0,-104.9869438,39.79007,1,112,globeville,True,False,1
386657,drug-pcs-other-drug,drug-alcohol,2023-10-03 15:58:00,2023-10-03 15:58:00,E COLFAX AVE / N BROADWAY ST,3144156.0,1694853.0,-104.9873914,39.7400591,6,621,civic-center,True,False,1
386764,theft-parts-from-vehicle,theft-from-motor-vehicle,2023-10-03 15:30:00,2023-10-03 15:37:00,1362 S PATTON CT,3129812.0,1677257.0,-105.0387144,39.6919655,4,421,mar-lee,True,False,1
386688,criminal-trespassing,all-other-crimes,2023-10-03 15:20:00,2023-10-03 16:44:00,2609 N FEDERAL BLVD,3133359.0,1700277.0,-105.0256834,39.7551099,1,121,sloan-lake,True,False,1
386752,theft-shoplift,larceny,2023-10-03 15:20:00,2023-10-03 16:44:00,2609 N FEDERAL BLVD,3133359.0,1700277.0,-105.0256834,39.7551099,1,121,sloan-lake,True,False,1
386658,drug-pcs-other-drug,drug-alcohol,2023-10-03 15:13:00,2023-10-03 19:27:00,1400 BLOCK N MARIPOSA ST,3139899.0,1694303.0,-105.0025394,39.7386142,1,123,lincoln-park,True,False,1
386631,criminal-mischief-other,public-disorder,2023-10-03 15:05:00,2023-10-03 19:04:00,1115 N SHERMAN ST,3144741.0,1692740.0,-104.9853538,39.7342495,6,623,capitol-hill,True,False,1
386798,theft-other,larceny,2023-10-03 14:50:00,2023-10-03 19:31:00,10406 E MLK BLVD,3178010.0,1702129.0,-104.8668322,39.7594468,5,512,central-park,True,False,1
386701,assault-simple,other-crimes-against-persons,2023-10-03 14:00:00,2023-10-03 14:01:00,18605 E GVR BLVD,3205114.0,1711659.0,-104.7701569,39.7850496,5,523,gateway-green-valley-ranch,True,False,1
386648,drug-heroin-sell,drug-alcohol,2023-10-03 14:00:00,2023-10-03 14:00:00,450 S SANTA FE DR,3141970.0,1683438.0,-104.99539,39.7087563,3,312,baker,True,False,1
386651,drug-cocaine-sell,drug-alcohol,2023-10-03 14:00:00,2023-10-03 14:00:00,450 S SANTA FE DR,3141970.0,1683438.0,-104.99539,39.7087563,3,312,baker,True,False,1
386649,drug-opium-or-deriv-sell,drug-alcohol,2023-10-03 14:00:00,2023-10-03 14:00:00,450 S SANTA FE DR,3141970.0,1683438.0,-104.99539,39.7087563,3,312,baker,True,False,1
386650,drug-opium-or-deriv-possess,drug-alcohol,2023-10-03 13:30:00,2023-10-03 14:16:00,3259 S PARKER RD,3183299.0,1665567.0,-104.8489522,39.6589747,3,323,kennedy,True,False,1
386687,criminal-trespassing,all-other-crimes,2023-10-03 12:00:00,2023-10-03 13:16:00,1633 S ALCOTT ST,3135923.0,1675630.0,-105.0170302,39.6874118,4,422,ruby-hill,True,False,1
386730,threats-to-injure,public-disorder,2023-10-03 12:00:00,2023-10-03 15:03:00,876 N JULIAN ST,3132011.0,1691384.0,-105.0306411,39.7307162,1,122,villa-park,True,False,1
386669,violation-of-court-order,all-other-crimes,2023-10-03 12:00:00,2023-10-03 13:16:00,1633 S ALCOTT ST,3135923.0,1675630.0,-105.0170302,39.6874118,4,422,ruby-hill,True,False,1
386839,theft-of-motor-vehicle,auto-theft,2023-10-03 11:30:00,2023-10-03 15:24:00,1650 S COLORADO BLVD,3157598.0,1675453.0,-104.940019,39.6865843,3,322,virginia-village,True,False,1
386860,theft-of-motor-vehicle,auto-theft,2023-10-03 11:30:00,2023-10-03 17:40:00,8501 E ALAMEDA AVE,3171584.0,1684914.0,-104.8900993,39.7123095,3,321,lowry-field,True,False,1
386655,drug-poss-paraphernalia,drug-alcohol,2023-10-03 11:21:00,2023-10-03 12:24:00,1600 BLOCK N LINCOLN SHERMAN ALY,3144660.0,1695737.0,-104.9855815,39.742478,6,621,north-capitol-hill,True,False,1
386666,police-interference,all-other-crimes,2023-10-03 11:21:00,2023-10-03 12:24:00,1600 BLOCK N LINCOLN SHERMAN ALY,3144660.0,1695737.0,-104.9855815,39.742478,6,621,north-capitol-hill,True,False,1
386659,drug-pcs-other-drug,drug-alcohol,2023-10-03 11:21:00,2023-10-03 12:24:00,1600 BLOCK N LINCOLN SHERMAN ALY,3144660.0,1695737.0,-104.9855815,39.742478,6,621,north-capitol-hill,True,False,1
386652,drug-poss-paraphernalia,drug-alcohol,2023-10-03 11:05:00,2023-10-03 12:30:00,1600 BLOCK N PENNSYLVANIA PEARL ALY,3146067.0,1695742.0,-104.9805781,39.7424698,6,621,north-capitol-hill,True,False,1
386654,drug-poss-paraphernalia,drug-alcohol,2023-10-03 10:50:00,2023-10-03 10:50:00,1595 N PEARL ST,3146178.0,1695300.0,-104.9801924,39.7412547,6,621,north-capitol-hill,True,False,1
386726,threats-to-injure,public-disorder,2023-10-03 10:45:00,2023-10-03 12:00:00,1000 N FEDERAL BLVD,3133697.0,1692313.0,-105.0246294,39.7332425,1,122,sun-valley,True,False,1
386862,agg-aslt-shoot,aggravated-assault,2023-10-03 10:44:00,2023-10-03 12:03:00,N JOLIET ST / E 55TH AVE,3179460.0,1715407.0,-104.8613428,39.7958686,5,511,montbello,True,False,1
386755,theft-shoplift,larceny,2023-10-03 10:15:00,2023-10-03 10:28:00,7800 E SMITH RD,3169238.0,1705800.0,-104.897946,39.7696879,5,512,central-park,True,False,1
386719,menacing-felony-w-weap,aggravated-assault,2023-10-03 10:10:00,2023-10-03 11:11:00,2770 S COLORADO BLVD,3157585.0,1667983.0,-104.9402287,39.6660777,3,314,university-hills,True,False,1
386799,theft-other,larceny,2023-10-03 09:30:00,2023-10-03 13:32:00,3111 W DARTMOUTH AVE,3133054.0,1665571.0,-105.0274103,39.6598387,4,423,harvey-park-south,True,False,1
386775,theft-items-from-vehicle,theft-from-motor-vehicle,2023-10-03 09:30:00,2023-10-03 17:30:00,4210 N JACKSON ST,3156697.0,1707886.0,-104.9425132,39.775634,2,212,elyria-swansea,True,False,1
386771,theft-parts-from-vehicle,theft-from-motor-vehicle,2023-10-03 09:00:00,2023-10-03 15:04:00,4700 S SYRACUSE ST,3169425.0,1653713.0,-104.8985076,39.6266951,3,324,hampden-south,True,False,1
